Year,CPI,SALARY,CONS_Total,CONS_Other,GROSS_INCOME,CONS_cloth,CONS_clothes,CONS_donation,CONS_education_services_government,CONS_education_services_government_college,CONS_education_services_private,CONS_education_services_private_college,CONS_electronics_ict,CONS_electronics_ict_repair,CONS_entertainment_goods_music,CONS_entertainment_goods_sports,CONS_financial_services,CONS_food_basic,CONS_food_non_basic,CONS_footwear,CONS_footwear_services,CONS_fuel,CONS_fuel_biomass,CONS_furniture_fixtures,CONS_health_equipment,CONS_health_services,CONS_health_services_dental,CONS_health_services_paramedical,CONS_health_services_testing,CONS_hospital_services,CONS_hotel_services,CONS_house_repair_goods,CONS_house_repair_services,CONS_household_accessories_medical,CONS_household_electric_equipment,CONS_household_equipment,CONS_household_gardening,CONS_household_goods,CONS_household_items,CONS_household_repair_services,CONS_household_services,CONS_household_utensils,CONS_interest,CONS_jewellery,CONS_legal_services,CONS_medical_accessories,CONS_medical_life_saving,CONS_motor_vehicle_four_wheeler,CONS_motor_vehicle_two_wheeler,CONS_non_motorized_vehicle,CONS_other_services,CONS_personal_accessories,CONS_personal_accessories_services,CONS_personal_expenses_religious,CONS_personal_products,CONS_personal_services,CONS_recreation,CONS_religious_services,CONS_rent,CONS_restaurant,CONS_sports_recreation_services,CONS_stationery,CONS_tailoring_cleaning,CONS_tax,CONS_telecom_equipment,CONS_telecom_services,CONS_transport,CONS_transport_services,CONS_travel,CONS_travel_religious,CONS_utilities,CONS_vehicle_equipment,CONS_vehicle_services
2022,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023,1,1,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307,1.1307
2024,1,1,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114
2025,1,1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
2026,1,1,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383,1.1383
2027,1,1,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101
2028,1,1,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001,1.1001
2029,1,1,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157
2030,1,1,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185
2031,1,1,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185
2032,1,1,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185,1.1185
